retail,ASIN,weight,dim,selling,channel
13.04,B014KKDAG6,0.54895038,0.751162235,6.519999981,1
14.98,B008R79T0K,0.57099658,0.569847213,6.539999962,1
13.93,B001O0D6SI,2.59924698,0.224338926,6.559999943,1
27.51,B01E1NI5WQ,9.1932654,1.298619458,6.559999943,1
15.49,B07BH1J713,0.89948496,6.060224135,6.630000114,1
19.99,B000UVVX28,0.551155,0.977696258,6.679999828,1
27.99,B0731DFTR2,15.95924418,4.636484142,6.690000057,1
25.89,B0731GTFM1,15.9173564,4.634289045,6.690000057,1
18.99,B009LN8E7S,1.15081164,4.635606103,6.690000057,1
14.99,B06XGNHD7B,0.0992079,0.136535041,6.75,1
21.99,B00HHIIX8E,15.65059738,4.888042272,6.75,1
19.99,B07F3FTCXB,1.3007258,1.180962252,6.760000229,1
16.43,B07HGTSN7X,0.3086468,0.639212282,6.800000191,1
14.99,B000EN6XPY,0.440924,0.211607363,6.820000172,1
13.99,B00EODBJUO,0.11243562,0.153656799,6.849999905,1
16.08,B00CY53M4U,2.25091702,17.94974819,6.889999866,1
19.99,B00BUTN4V2,1.34922744,0.947403918,6.920000076,1
12.99,B00MVGRX0Q,1.04939912,0.141364255,6.940000057,1
28.77,B01CKHEHPO,6.2611208,4.139953173,6.940000057,1
19.3,B074ZVWPLY,2.55956382,6.097540786,6.940000057,1
16.99,B075RCPMG6,4.25050736,0.86969748,6.940000057,1
17.99,B07SJW3GL8,3.30031614,10.83631645,6.960000038,1
17.99,B07SNYMK2J,3.19890362,11.43645601,6.960000038,1
23.31,B07H9P7QYC,2.20021076,8.297906142,6.980000019,1
21.6,B07H9PZ42P,2.50003908,7.55157312,6.980000019,1
16.99,B07H9PZ81G,2.94978156,9.429698218,6.980000019,1
23.42,B07H9PZDQW,2.1495045,7.135382706,6.980000019,1
27.95,B07H9PZGSP,2.1164352,7.76493656,6.980000019,1
20,B07H9TKSXY,4.04988694,33.32376941,6.980000019,1
27.99,B0016BQG50,2.7998674,3.382644665,7,1
19.99,B002OEQ50Y,2.12084444,1.260863787,7,1
19.59,B0793JV3N4,0.76941238,1.419788819,7,1
14.59,B088B92DYW,4.629702,0.370532394,7,1
14.99,B089ZQ2FX1,5.20069858,0.543067028,7,1
15.99,B01CETEZ78,0.9700328,1.245498107,7.019999981,1
14.99,B000EMRT1M,1.97974876,0.510140571,7.03000021,1
24.99,B07FNMRJ8Q,14.881185,2.805334122,7.079999924,1
20.99,B01MQKD4JX,0.98987438,2.244706317,7.090000153,1
11.99,B013JOAWGA,0.89948496,1.417593722,7.090000153,1
16.15,B079S2HWKV,10.00015632,1.1594503,7.119999886,1
24.99,B002SCV0MA,0.14991416,0.249363033,7.130000114,1
18.95,B07992TKDC,0.0661386,0.371410433,7.130000114,1
19.99,B00PAT5HXQ,0.9479866,0.651943845,7.139999866,1
19.99,B00PAT5HZY,1.04939912,0.587847009,7.139999866,1
31.68,B0026T1DMM,6.19939144,3.743957652,7.199999809,1
22.92,B002QN2BCY,6.9996685,4.650532763,7.199999809,1
17.99,B008RK4ZCE,0.03968316,0.514969785,7.199999809,1
21.99,B00E4US1DK,3.4502303,3.076648127,7.199999809,1
21.43,B00E4US1CQ,3.09969572,3.659226903,7.199999809,1
21.51,B01E1NHZO0,9.6121432,1.302570632,7.21999979,1
18.99,B079S5FCXB,8.41944378,0.977257239,7.21999979,1
14.99,B06XS5NXK7,3.09969572,0.511896649,7.239999771,1
25.59,B01LXKK71H,0.85098332,0.588286029,7.28000021,1
32.99,B0719BBFP2,5.8201968,16.84737041,7.28000021,1
19.29,B00Z9N4WC0,2.42949124,1.143645601,7.300000191,1
19.79,B00A6MKU6G,10.00015632,1.021598201,7.300000191,1
21.95,B00HV65Z10,2.23107544,2.786017268,7.409999847,1
19.99,B00N5IIM54,0.6503629,0.667309525,7.440000057,1
13.91,B0016BNDXI,3.84926652,7.004554917,7.449999809,1
24,B01N5LVN0G,0.31085142,0.75511341,7.449999809,1
21,B00I7TD9TA,1.00089748,1.226181253,7.489999771,1
24.99,B00JG6R0I4,1.79896992,4.736141551,7.5,1
19.99,B00P32MH6A,0.29982832,0.110193876,7.5,1
17.99,B00P33T1KY,0.24912206,0.110193876,7.5,1
19.52,B0793HNRPV,0.70106916,0.96847685,7.5,1
14.99,B07BLZHBWC,0.14991416,0.722186953,7.5,1
14.99,B07BLZWMCX,0.13889106,0.687065399,7.5,1
24.99,B00306V4TM,10.89964128,12.21395941,7.5,1
20.99,B00FY0H2N4,3.50093656,14.84939301,7.510000229,1
31.99,B001OEPWYK,1.00089748,12.37464052,7.510000229,1
20.99,B00FY0GW08,3.19890362,11.88425582,7.519999981,1
19.99,B00EDTEIAM,2.44933282,9.270773186,7.550000191,1
15.99,B08972H6RL,0.14991416,0.749845177,7.599999905,1
24.05,B07R2FGGRS,5.1367646,5.94212791,7.619999886,1
33.89,B01DAOOAV2,5.3792728,15.4095818,7.630000114,1
19.98,B000VDTEDA,3.32677158,3.464302278,7.710000038,1
28.49,B01LR5S1WA,16.9535278,2.453240544,7.710000038,1
28.51,B013A4ASNG,5.39911438,13.45375026,7.739999771,1
24.99,B0786PLYTR,2.1495045,9.315114148,7.760000229,1
20.99,B01L9UA9VY,2.20021076,1.721834183,7.800000191,1
29.99,B07GL2DDQW,1.322772,5.488620845,7.800000191,1
15.75,B0026I0TYG,0.5291088,4.194830601,7.849999905,1
20,B08JGXQZ2L,1.21033638,2.495825428,7.860000134,1
14.99,B07SLPYT1N,0.15652802,0.802088489,7.869999886,1
21,B071WM7P2S,0.20062042,0.285362626,7.880000114,1
19.99,B00196P2O8,2.2707586,5.225648209,7.929999828,1
29.99,B00P2ZBSQS,2.8219136,4.372633468,7.929999828,1
19.99,B07CZSP9KK,1.00089748,5.379305008,8,1
23.99,B07RS84ZXJ,1.3007258,4.326097409,8,1
20,B07VVKPLPC,0.50044874,0.903062956,8,1
12.67,B088827JY6,5.24920022,1.421544896,8,1
27,B078WZ51LN,1.433003,5.599692759,8,1
27.99,B07F1ZB48H,15.00023448,2.565629517,8.010000229,1
31.71,B00R3N09EY,8.4657408,5.17911215,8.029999733,1
19.5,B07FFTPH8J,0.7495708,1.515495053,8.090000153,1
19.48,B07FLZWV86,0.55997348,0.960135481,8.090000153,1
15.99,B00YZ3YAM2,0.6503629,1.041793094,8.100000381,1
22.99,B07665GJF5,1.04939912,4.539460849,8.119999886,1
19.99,B07BHVK1S4,4.14909484,5.50003535,8.130000114,1
17.49,B0093CMYT6,10.09936422,1.634030298,8.140000343,1
31.99,B000051ZHS,7.33917998,6.041785319,8.159999847,1
15.99,B00PG44OB6,0.95019122,0.529018407,8.18999958,1
25.23,B005Y1PABY,5.95026938,5.895152832,8.199999809,1
17,B001CJK8P0,0.70988764,1.486519771,8.25,1
29.99,B001CJNM4O,0.20062042,1.577396792,8.25,1
13.86,B002BV0F8S,0.35053458,0.37360553,8.25,1
27.22,B07QXLZNN9,6.19939144,7.062066462,8.25,1
21.99,B0076O6G60,1.10231,2.949771513,8.279999733,1
29.99,B01KQH5CRC,1.3889106,7.886105922,8.300000191,1
13.99,B01ICQJPDG,1.3007258,0.474140978,8.31000042,1
23.98,B000G3G3HA,2.59924698,8.180687955,8.319999695,1
13,B01DPK3EBS,0.39903622,0.149266604,8.319999695,1
25.99,B00B4IHXRU,4.04988694,12.39176227,8.329999924,1
23.98,B0047EFZN2,2.2266662,8.245223811,8.329999924,1
19.99,B01DR2KBGK,0.01984158,0.05356037,8.390000343,1
19.98,B071V92L85,2.44933282,3.176744555,8.390000343,1
19.99,B07CZHRQLD,2.64995324,3.431375822,8.390000343,1
15.5,B07XT8RX5D,1.53000628,0.445165696,8.409999847,1
27.59,B002YZYJ2E,2.20021076,2.121341859,8.420000076,1
18.99,B071P2MQ5D,1.4991416,6.106321175,8.430000305,1
22.99,B0766565HG,1.25001954,4.054783404,8.430000305,1
29.99,B0043G1L6E,0.39903622,0.264289694,8.43999958,1
20.81,B07D4B3JF4,1.60055412,6.440414957,8.460000038,1
22.5,B008N3L1B8,0.20062042,0.085169768,8.539999962,1
16.99,B06XS6CBCN,4.12925326,0.634822088,8.539999962,1
30,B00403BJ12,0.3858085,0.830185732,8.630000114,1
16.9,B01N2UJWJ5,2.44933282,8.247857927,8.680000305,1
39.99,B0711N71BH,6.2500977,10.79812176,8.699999809,1
39.99,B07TZSX3D3,5.24920022,10.39071174,8.699999809,1
27.99,B013W8FWUE,0.4629702,1.733687707,8.720000267,1
26.99,B00P2ZBUT8,15.54918486,5.693642916,8.720000267,1
30,B01N9NEM4A,0.31085142,0.368337297,8.729999542,1
22.99,B07664K1CW,1.36906902,4.606630821,8.739999771,1
17.68,B07ZRD89N5,4.10279782,2.033976994,8.75,1
20,B00XM2MRGI,1.75046828,12.75790447,8.779999733,1
23.27,B081M76JNK,6.30080396,6.476853569,8.779999733,1
19.99,B00YC2QEW0,9.19987926,4.800238387,8.789999962,1
24.75,B00425G1WU,0.0992079,0.317411044,8.81000042,1
20,B00FX34KEG,3.99918068,2.085781286,8.81000042,1
18.95,B000ONZT5E,0.50044874,1.26657104,8.850000381,1
28.19,B017F093VO,0.30644218,1.303448671,8.869999886,1
33.68,B0731DWW5D,21.25033218,4.455169119,8.869999886,1
21.99,B01H7OW5KY,6.0186126,4.480193227,8.880000114,1
34.99,B00FQD5HK4,9.34979342,4.876627767,8.890000343,1
39.55,B00IVEIBDA,2.20021076,1.62481089,8.890000343,1
22.5,B008N3L4AQ,0.18077884,0.118096225,8.899999619,1
28.37,B0071BFGTQ,1.4109568,3.52400892,8.920000076,1
21.98,B010I7A2AC,1.99959034,2.818065686,8.979999542,1
24.99,B00FRMHZJA,0.48942564,0.390288268,9,1
13.67,B01N9TS503,1.25001954,0.424531784,9,1
21.99,B01M013RRF,10.18975364,1.763102009,9.130000114,1
40.99,B07Z8D81L5,3.24960988,15.27436382,9.130000114,1
22.99,B07FQW95VG,10.41242026,4.383169934,9.180000305,1
30,B00403HLZK,0.29982832,0.723504012,9.199999809,1
25.38,B074ZVLLT8,4.49962942,11.24723864,9.229999542,1
31.99,B074DZ6NGS,20.8557052,5.887250482,9.270000458,1
24.99,B07FQZ231S,10.74090864,7.422501409,9.279999733,1
21.04,B000Y860AC,3.99477144,6.202466429,9.289999962,1
18.99,B0033OI7V4,1.4991416,5.839397365,9.300000191,1
18.99,B07BH1WTJR,1.19931328,8.020006846,9.350000381,1
29.99,B00076SPZY,1.64023728,5.052674556,9.5,1
24.99,B0033JM2BK,0.24912206,0.083413691,9.5,1
24.99,B003ZEFCB0,0.24912206,0.143559352,9.5,1
24.99,B004H33FO4,0.20062042,0.099657409,9.5,1
24.99,B075SL8KVS,1.06042222,0.974623122,9.5,1
18.99,B07W3S8ZTF,1.15081164,7.041432549,9.5,1
19.99,B08BJDX62F,3.30031614,4.358145827,9.5,1
13.75,B0889HMHDF,0.59965664,1.041793094,9.5,1
19.99,B00ED3GIV0,1.3007258,10.02456954,9.510000229,1
21.99,B00N3UU2Z2,2.1495045,4.254537242,9.510000229,1
27.03,B00MN95ONE,3.04898946,6.761338156,9.539999962,1
21.98,B07G3SZXF2,3.86028962,8.55078133,9.539999962,1
17.41,B0856X54LZ,2.1495045,8.15434679,9.550000191,1
18.21,B08572NCQJ,2.51106218,8.571854263,9.550000191,1
22.08,B004QCNMV2,0.0220462,0.281850471,9.56000042,1
24.99,B013JL05PG,4.70024984,2.682408683,9.569999695,1
21,B0061Z84AG,10.05086258,1.439105673,9.590000153,1
34.62,B00R3N0BDS,10.59099448,6.749484632,9.590000153,1
27.46,B074ZVXJLZ,4.40042152,10.69978141,9.590000153,1
19.99,B07VGBMYK9,2.0502966,1.631396181,9.600000381,1
38.99,B07FQSPKGH,15.763033,11.74464764,9.630000114,1
24.99,B013JL05R4,4.19098262,2.633238508,9.68999958,1
25.99,B08D6X1V7K,2.7998674,17.35136471,9.739999771,1
30,B00427MWNU,0.7495708,6.694607204,9.840000153,1
17.43,B004VG092S,1.3007258,1.810077087,9.869999886,1
27.99,B00YM6ZXUA,0.89948496,2.50987405,9.899999619,1
29.99,B06VWJL9LG,0.65918138,1.308277885,9.930000305,1
34.99,B01D1X0U3O,4.7509561,14.0626702,9.93999958,1
19.99,B00EB3HM2G,1.90038244,3.704445904,9.949999809,1
19.99,B00EB3HM3K,1.79896992,2.76099316,9.949999809,1
22.99,B01L9NYG74,2.59924698,32.36714609,9.960000038,1
