ASIN,channel,retail,1m,weight,selling
B00J8RTU9I,0,9.99,118.9351913,0.50044874,3.1
B00JDJZTFA,0,9.99,118.9351913,0.50044874,3.1
B00JITHL6A,0,9.99,118.9351913,0.50044874,3.1
B00JJY3RS0,0,9.99,118.9351913,0.50044874,3.1
B00O8SYN30,0,9.99,116.6162907,0.44974248,3.1
B00QHAASF4,0,9.99,116.3721959,0.35053458,3.1
B00RTI59T8,0,9.99,115.8229826,0.42108242,3.1
B00VLVDPH2,0,9.99,113.9312479,0.35053458,3.1
B0132KGQYI,0,9.99,112.7107739,0.35053458,3.1
B014JOQ7O0,0,9.99,111.4292762,0.24912206,3.1
B018GWZKH6,0,9.99,110.8800629,0.31085142,3.1
B01FYCSS34,0,9.99,106.9745461,0.39903622,3.1
B01G9B3LTK,0,9.99,106.791475,0.35053458,3.1
B01JA25M3S,0,9.99,105.8761195,0.48942564,3.1
B01N0NJ6HD,0,9.99,104.960764,0.37037616,3.1
B06XH6S4SY,0,9.99,103.8013137,0.37037616,3.1
B06XY7DG25,0,9.99,103.5572189,0.31085142,3.1
B071F9KZCY,0,9.99,102.8249345,0.35053458,3.1
B072J3K9XC,0,9.99,102.2146975,0.44974248,3.1
B073H5Z1PF,1,9.99,101.7875316,0.37037616,3.1
B073SBDZSH,0,9.99,101.7875316,0.440924,3.1
B075B5D8G8,0,9.99,100.689105,0.5291088,3.1
B0772RDGFT,0,9.99,99.6517021,0.330693,3.1
B077PBNHN8,0,9.99,99.3465836,0.35053458,3.1
B078137J29,0,9.99,98.7363466,0.37037616,3.1
B07BHSDDMX,0,9.99,97.2717778,0.35053458,3.1
B07KXGL7QH,0,9.99,89.6438153,0.31085142,3.1
B07TKYB5JP,0,9.99,84.0906586,0.3747854,3.1
B07W963W7M,0,9.99,83.1753031,0.3527392,3.1
B0884LCL2D,0,9.99,77.500099,0.4188778,3.1
B002XULQAI,0,9.99,70.9095394,0.29982832,3.1
B002XULQHG,0,9.99,70.9095394,0.29982832,3.1
B002ZUPOOK,0,9.99,70.9095394,0.29982832,3.1
B00306V4TM,0,9.99,70.9095394,0.29982832,3.1
B003070N3E,0,9.99,70.9095394,0.29982832,3.1
B0032JSQKM,0,9.99,70.9095394,0.29982832,3.1
B0032YV94C,0,9.99,70.9095394,0.29982832,3.1
B0035LVULE,0,9.99,70.9095394,0.29982832,3.1
B0035LXWOW,0,9.99,70.9095394,0.29982832,3.1
B003648YJG,0,9.99,70.9095394,0.29982832,3.1
B0039MQ06Y,0,9.99,70.9095394,0.29982832,3.1
B0039QC2YE,0,9.99,70.9095394,0.29982832,3.1
B0039X2ZXU,0,9.99,70.9095394,0.29982832,3.1
B0039ZBCSW,0,9.99,70.9095394,0.29982832,3.1
B003GWXXLM,0,9.99,70.9095394,0.29982832,3.1
B003H2GA66,0,9.99,70.9095394,0.29982832,3.1
B003J9DGIC,0,9.99,70.9095394,0.29982832,3.1
B003LCSW9K,0,9.99,70.9095394,0.29982832,3.1
B003LQZM2G,0,9.99,70.9095394,0.29982832,3.1
B003LVMK3A,0,9.99,70.9095394,0.29982832,3.1
B003TKUVAC,0,9.99,70.9095394,0.29982832,3.1
B07R8P986Q,1,41.95,342.2819333,1.9510887,13
B07L6SCLRG,0,30.02,401.1087801,0.881848,9.3
B072NBV6C4,0,34.52,102.0926501,1.10010538,10.69
B07DWMWVWK,0,20.99,517.1148338,11.34938376,6.5
B06XSXDDQW,0,120.57,1275.090212,11.684486,37.3
B0719KGCW4,0,56.99,1170.129448,41.3145788,17.63
B008OIV126,0,343.48,5926.926863,52.9990648,106.2
B00CM9JMCY,0,194.14,5204.345231,60.99963078,60
B000YZEJ2G,0,471.91,11726.37522,77.9994556,145.8
B01N9T113Y,0,78.99,1429.60222,23.15071462,24.4
B000FE5PBA,0,12.5,72.9843452,0.8157094,3.86
B00KTH384O,0,219.99,3813.98125,12.89923162,67.93
B07BLF1MTM,1,93.13,598.5204496,5.35943122,28.75
B005OHEYVA,1,64.04,7116.278776,10.05086258,19.75
B07RBCC629,0,30.16,342.2209096,1.00089748,9.3
B07F41T253,0,40.54,498.1974868,2.12084444,12.5
B07Z7DYD46,0,41.04,247.0239376,0.7495708,12.65
B07F29LJH4,0,33.1,504.8490701,1.2345872,10.2
B003CU23LE,0,584.22,8816.399058,60.99963078,180
B07B41S34Q,0,33.11,626.1641857,1.58953102,10.2
B079C7QB2S,0,62.49,97.7599674,0.70106916,19.25
B01N4SGPF6,0,39,1475.858185,43.99980596,12
B08FFQ54RL,0,13,154.5120084,0.39903622,4
B01MY2F88U,0,56.07,1529.436993,11.99974666,17.25
